Title;Category;Subcategory;Class;IT Application Technology;IT Management & Support Processes;IT External Supply Chain;IT Engineering;IT Internal Supply Chain;IT Desktop Mgmt. & Support;IT Data Center;IT Network & Communication;IT Cross-functional solutions;IT PMO Operational;IT Processes & Rules;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;IT Global Applications SE;IT Global Applications EE;IT Global Applications ME;IT Global Application KANA;AITS Support (external);LOB;LOB Comment;Useful links & Comments;Item Type;Path
Truck Guidance System;Local Business Applications;Truck Guidance System;Application;-;-;-;-;-;-;C;-;I;-;-;S;-;-;-;-;-;-;-;-;A;Logistics Attendorn;;Element;IT/Lists/RASCI  POC
uMan RH;Local Business Applications;uMan RH;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;A;Portugal HR / Payroll;;Element;IT/Lists/RASCI  POC
Zeus (Timemanagement/Access control);Local Business Applications;Zeus (Timemanagement/Access control);Application;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;-;A;HR;;Element;IT/Lists/RASCI  POC
Aspera SAP License Management;SAP;Aspera SAP License Management;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Opra (Plant Maintenance);SAP;Opra (Plant Maintenance);Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
PBS Archiving;SAP;PBS Archiving;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP basic components (BC);SAP;SAP basic components (BC);Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP EDI Customer;SAP;SAP EDI Customer;Application;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S;S;-;;;Element;IT/Lists/RASCI  POC
SAP EDI Supplier;SAP;SAP EDI Supplier;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;C;Purchasing, Logistics;;Element;IT/Lists/RASCI  POC
SAP Finance and Controlling;SAP;SAP Finance and Controlling;Application;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Learning Hub;SAP;SAP Learning Hub;Application;-;-;-;-;-;-;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Masterdata Management;SAP;SAP Masterdata Management;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Material Management (MM);SAP;SAP Material Management (MM);Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Material Planning and Release (MRP);SAP;SAP Material Planning and Release (MRP);Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Plant Maintenance;SAP;SAP Plant Maintenance;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Procurement;SAP;SAP Procurement;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Production Planning;SAP;SAP Production Planning;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Quality Management;SAP;SAP Quality Management;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Sales and Distribution;SAP;SAP Sales and Distribution;Application;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Treasury /Serrala;SAP;SAP Treasury /Serrala;Application;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Treasury;;Element;IT/Lists/RASCI  POC
SAP Warehousemanagement (WM);SAP;SAP Warehousemanagement (WM);Application;-;-;-;-;R;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Web IDE;SAP;SAP Web IDE;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAST/GRC Akquinet;SAP;SAST/GRC Akquinet;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Solution Manager Charm;SAP;Solution Manager Charm;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Solution Manager Monitoring;SAP;Solution Manager Monitoring;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
LiquidFiles;Serverapplications;LiquidFiles;Application;-;-;-;I;-;I;A;-;C;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Netvault;Serverapplications;Netvault;Application;-;-;-;-;-;I;A;-;-;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Saperion;Serverapplications;Saperion;Application;A;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;S;;;Element;IT/Lists/RASCI  POC
SEP;Serverapplications;SEP;Application;-;-;-;-;-;I;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Symantec Enterprise Vault;Serverapplications;Symantec  Enterprise Vault;Application;-;-;-;-;-;I;A;-;-;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Action plan;Shopfloor / Production;Action plan;Application;R;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Andon;Shopfloor / Production;Andon;Application;R;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Hydra (BDE/MDE);Shopfloor / Production;Hydra (BDE/MDE);Application;I;-;-;-;A;-;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Hydra CAQ;Shopfloor / Production;Hydra CAQ;Application;-;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Hydra server (core application);Shopfloor / Production;Hydra server (core application);Application;-;-;-;-;A;-;R;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Mobisys (Scanner and Tablets);Shopfloor / Production;Mobisys (Scanner and Tablets);Application;S;-;R;-;A;C;-;S;-;-;-;S;S;S;S;S;S;S;-;-;-;;;Element;IT/Lists/RASCI  POC
QIMS;Shopfloor / Production;QIMS;Application;-;S;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Regis;Shopfloor / Production;Regis;Application;S;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
RFID-Systems;Shopfloor / Production;RFID-Systems;Application;-;-;-;A;-;-;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Scio;Shopfloor / Production;Scio;Application;S;-;-;-;I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
SFM (Shopfloormanagement);Shopfloor / Production;SFM (Shopfloormanagement);Application;I;-;-;-;-;-;-;-;-;-;-;I;I;I;I;I;I;I;-;-;-;;;Element;IT/Lists/RASCI  POC
SIEM (Elastic Search);System Monitoring;SIEM (Elastic Search);Application;-;-;-;-;-;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
